Genes,Gene_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
ARGLU1,1,-0.13136333,0.23534481,0.0042517637,0.09626601,0.065367244,-0.4742163,-0.05731954,0.45734704,-0.13819902,0.019468315,-0.14955644,-0.24266538,0.0132226795,0.036981735,0.022263156,-0.09781642,0.03247854,-0.23398991,0.07848399,-0.34957507,0.20015213,0.109359965,0.12991868,-0.108994074,-0.11591572,0.07288251,-0.20345251,-0.23211917,-0.03646601,0.034090348,0.29445744,0.19296448,0.030311313,-0.06514726,-0.23863631,0.28608677,-0.0912497,-0.4165973,-0.25868136,-0.39254594,-0.06839705,-0.0035133914,-0.02525457,-0.15002742,0.15886123,-0.16969115,-0.13096194,-0.054036327,0.16216028,0.15199162,0.16789266,-0.17349309,-0.2047874,0.043753866,-0.16317374,0.14478092,0.15544118,-0.030816218,-0.22304691,0.13315216,0.10843853,0.041099012,-0.24024966,-0.105183125,-0.32594767,0.094441235,0.023243746,0.095221676,-0.20545155,0.14648877,-0.08758699,-0.006276341,0.22055317,-0.04897411,0.08435883,0.13711977,-0.08336572,-0.13819905,-0.17453401,0.22018841,-0.15244873,-0.124155916,-0.19321735,0.310202,-0.037372444,0.066710025,-0.11315494,0.29021114,0.25592548,0.03752682,0.20662192,-0.011727621,-0.08865693,0.11012799,0.36557636,0.17348254,0.16223419,-0.4090993,0.06708608,0.008252814
B3GNT9,1,-0.1425021,0.24801171,-0.00038878227,0.11222933,0.04077276,-0.5318304,-0.043168988,0.47184664,-0.13277163,0.021508982,-0.15020616,-0.29313266,0.014479871,0.046508364,0.01891518,-0.11690975,0.039729197,-0.2560078,0.06685085,-0.3815738,0.2466482,0.10399464,0.13892153,-0.10898077,-0.13917477,0.098087154,-0.18283403,-0.25329003,-0.034273077,0.04651271,0.3110181,0.19092898,0.021640033,-0.03905859,-0.27337873,0.30306688,-0.07513676,-0.4519707,-0.27475724,-0.42681438,-0.09881233,-0.011818987,-0.045884576,-0.16123706,0.18800505,-0.15121573,-0.124771915,-0.059255168,0.18567564,0.18137029,0.18176123,-0.15917608,-0.21502881,0.034503065,-0.19023958,0.14621194,0.1330414,-0.019982701,-0.24797983,0.13530323,0.08405373,0.051394485,-0.2545994,-0.099236764,-0.31963608,0.108431004,0.03224568,0.11836964,-0.20862967,0.1599823,-0.09269476,-0.014903798,0.20562121,-0.052605413,0.105313286,0.14053145,-0.11318633,-0.13020654,-0.19915487,0.2212619,-0.1549427,-0.15079013,-0.22287583,0.32543904,-0.032442436,0.06117853,-0.12989758,0.2838814,0.26620367,0.031553786,0.21654342,-0.015579018,-0.06782329,0.11538851,0.3900307,0.18872336,0.18325612,-0.43179742,0.085594736,0.008026535
BRAP,1,-0.12884639,0.23755592,0.0017141519,0.11132452,0.037692986,-0.47507316,-0.03870465,0.44637987,-0.11340016,0.022660194,-0.13232155,-0.23443867,0.0024190426,0.0515172,0.012189988,-0.10199497,0.045163326,-0.21781942,0.047922492,-0.3414004,0.20147996,0.09385256,0.1287252,-0.10990071,-0.10306734,0.081494346,-0.18346897,-0.22633135,-0.033788454,0.049743112,0.29039925,0.18146476,0.0141547285,-0.029064655,-0.25190666,0.29067618,-0.076514654,-0.41284356,-0.25716034,-0.4008565,-0.074319236,-0.0025300463,-0.051403504,-0.16391893,0.16578285,-0.1719075,-0.1109274,-0.046592392,0.15478115,0.16247253,0.15750228,-0.14907767,-0.1903847,0.03499491,-0.16037886,0.15801136,0.12949258,-0.028785888,-0.22840014,0.1375349,0.11272818,0.041825935,-0.21798114,-0.10652035,-0.31772646,0.094545394,0.015795607,0.11290966,-0.19573003,0.135876,-0.085771695,-0.030394198,0.1984475,-0.0406288,0.07115048,0.12618135,-0.09590437,-0.1283701,-0.18683298,0.19826876,-0.13818206,-0.1519846,-0.19951336,0.31581762,-0.04012513,0.0778844,-0.12953366,0.28660095,0.24024957,0.037511636,0.2035141,-0.013159796,-0.081909195,0.117794886,0.3373108,0.17740121,0.1582697,-0.40088347,0.06851393,0.0012903368
ATF7,1,-0.10796951,0.2633016,-0.002454522,0.090085074,0.056431044,-0.49513692,-0.0465986,0.48327705,-0.14170182,0.0003400375,-0.1342136,-0.27776885,0.009687424,0.039522737,0.035460066,-0.118869014,0.049101412,-0.22628185,0.06753902,-0.3678983,0.23801194,0.10579173,0.149082,-0.12392571,-0.14463669,0.118931115,-0.20712948,-0.28885597,-0.004176197,0.0535315,0.3069343,0.19879015,0.032046255,-0.041798137,-0.27844152,0.3452185,-0.0836574,-0.4752203,-0.27271885,-0.43608212,-0.08162567,-0.026261143,-0.042167515,-0.15612234,0.1829928,-0.17308505,-0.14836015,-0.08235693,0.20489699,0.16904055,0.18536083,-0.15625419,-0.22091758,0.026596693,-0.20178783,0.15570696,0.13933821,-0.05937942,-0.24907114,0.1597939,0.117217734,0.046172522,-0.23639989,-0.12382093,-0.31730315,0.12178613,0.02489597,0.1365028,-0.21741776,0.1514361,-0.08846052,-0.024602743,0.22573407,-0.03188349,0.12891057,0.12053433,-0.11966853,-0.16965565,-0.18938835,0.2116028,-0.15260044,-0.15958725,-0.22196315,0.33673814,-0.012706736,0.10202153,-0.1494315,0.31178778,0.30863222,0.04521892,0.20355326,-0.005653291,-0.06328941,0.1287017,0.34850633,0.16286986,0.1865876,-0.42694765,0.068068184,0.0021374058
BRD8,1,-0.22512686,0.17540196,-0.13905397,0.031972118,0.09119428,-0.65443116,0.06306235,0.6162712,-0.28703934,-0.08622737,-0.16957116,-0.29059145,-0.06927993,0.09019865,0.18221009,-0.20663275,0.047395043,-0.32357827,-0.006085185,-0.24887574,0.29944718,0.21507879,0.20116499,-0.031435613,-0.15685914,0.10821576,-0.22745328,-0.30051807,0.006725019,-0.027606478,0.21909796,0.33069593,-0.02990286,-0.1260715,-0.28329718,0.42475253,-0.08039011,-0.3541822,-0.231014,-0.3613518,-0.22251354,-0.074569,-0.052650772,-0.26085347,0.27088833,-0.18473573,-0.04896823,-0.13800071,0.34130245,0.20942487,0.0533196,-0.05811691,-0.28062806,0.035942003,-0.14700112,0.1644149,0.06741236,-0.07507863,-0.30973873,0.25181454,0.18849571,0.038320128,-0.14148228,-0.15741086,-0.3820512,0.23301119,0.057739586,0.223322,-0.056706853,0.22729684,-0.038123023,0.03434342,0.10085505,-0.0072943782,0.052697998,0.04508924,-0.17253827,-0.021974176,-0.06375475,0.35538998,-0.20392127,-0.16388488,-0.10586799,0.19213615,-0.05257356,0.14526889,-0.0035293626,0.34475005,0.2772766,0.17963576,0.12851875,-0.06711035,-0.01037137,0.2069479,0.43538156,0.20956191,0.040182993,-0.4804682,0.092691705,0.06623826
CCDC177,1,-0.1460454,0.2576723,0.01413256,0.09521885,0.053951815,-0.50541466,-0.07792908,0.4874345,-0.15055014,0.032986887,-0.15730472,-0.27178633,-0.010749506,0.03916688,0.026657987,-0.11569157,0.026151005,-0.23877044,0.08233922,-0.37458846,0.21514961,0.09326654,0.13605794,-0.12428463,-0.1202339,0.105684094,-0.21161136,-0.28560063,-0.02118187,0.06302167,0.30244076,0.19888006,0.029950697,-0.038059022,-0.28737065,0.31403947,-0.10392278,-0.45802283,-0.25679314,-0.4208951,-0.08045226,-0.0048942114,-0.028033627,-0.17887759,0.19179781,-0.16932748,-0.15451646,-0.058272216,0.1794448,0.1757482,0.1524473,-0.1643394,-0.21987648,0.020775113,-0.17178471,0.17626972,0.13431205,-0.032456443,-0.24137008,0.1476203,0.13966008,0.049399316,-0.26771906,-0.120442145,-0.3604825,0.09347042,0.02186827,0.11430506,-0.21551049,0.18034014,-0.08477784,-0.036057934,0.22154866,-0.065552264,0.102101095,0.15025136,-0.093398914,-0.14394526,-0.20013776,0.2402295,-0.15782899,-0.1557931,-0.21360324,0.3512472,-0.025429,0.061584327,-0.13782883,0.29432863,0.2766249,0.023957787,0.21873721,-0.027332548,-0.0841647,0.116856925,0.3882933,0.18303429,0.18429923,-0.44760615,0.07601205,-0.008763168
CDC73,1,-0.11767884,0.23132534,-0.012201933,0.08961577,0.047374144,-0.48614007,-0.05734738,0.44823045,-0.124698944,0.0076635797,-0.15804335,-0.26954594,0.015423302,0.059102815,0.020189129,-0.12766345,0.013155356,-0.25408176,0.045072738,-0.36640134,0.22779863,0.10444569,0.13563332,-0.11697451,-0.11274533,0.08675413,-0.18289953,-0.23790482,-0.027353171,0.06143427,0.31400928,0.18262163,0.019527795,-0.060915012,-0.26170874,0.30812088,-0.07596614,-0.4312688,-0.25304833,-0.41530055,-0.08729481,-0.009409572,-0.045864932,-0.15703867,0.16003983,-0.18206437,-0.1510738,-0.063657,0.17683342,0.15676647,0.17593375,-0.16713654,-0.20428525,0.021863434,-0.17103338,0.14053035,0.15457429,-0.020399611,-0.25258914,0.12096227,0.08914022,0.045326833,-0.2593596,-0.10668267,-0.33976725,0.10161155,0.032812897,0.103309214,-0.19977805,0.17478178,-0.07494652,-0.00450615,0.21468014,-0.05411236,0.07858557,0.13372791,-0.11176168,-0.1247647,-0.20910908,0.20485836,-0.1666999,-0.14874893,-0.2090929,0.32322767,-0.045667786,0.08698419,-0.11711197,0.2882623,0.2556571,0.02893771,0.1925221,-0.011648177,-0.056924365,0.09559029,0.38899183,0.171159,0.14799425,-0.43052074,0.06352502,-0.0052047446
CD2BP2,1,-0.1477179,0.2625264,-0.003825254,0.10681522,0.050775737,-0.58815145,-0.03233294,0.5405366,-0.13552666,0.009426178,-0.1535502,-0.30914274,0.010790824,0.057658043,0.0108800465,-0.10659701,0.035913337,-0.27580905,0.083498426,-0.40934983,0.27656457,0.10336001,0.16068378,-0.09698407,-0.16411027,0.14615047,-0.20407839,-0.24718234,-0.024407862,0.08394885,0.36618325,0.20042032,0.037169144,-0.039795943,-0.31975496,0.32374385,-0.093180284,-0.5029642,-0.30547306,-0.48143217,-0.09870276,-0.033464245,-0.05470802,-0.18312016,0.2108133,-0.16507672,-0.15547162,-0.05469458,0.19741465,0.21023054,0.20633705,-0.18613495,-0.23878908,0.034229133,-0.20594302,0.17612945,0.14288644,-0.03611837,-0.28746808,0.13713658,0.0945237,0.046474162,-0.25260374,-0.13381487,-0.36434016,0.13662092,0.01951713,0.14534163,-0.20697647,0.17850283,-0.08077057,-0.0149405515,0.21337804,-0.037141517,0.08251006,0.1574232,-0.14969729,-0.15885156,-0.19752467,0.2646694,-0.16741565,-0.19258605,-0.21632941,0.38705704,-0.027201407,0.049732644,-0.15154327,0.31638938,0.29264918,0.035079792,0.2643401,-0.021833895,-0.07200007,0.14044754,0.42766416,0.21602818,0.20656963,-0.49269244,0.1087865,0.010611525
CCT4,1,-0.13048917,0.23675348,-0.0077450317,0.0928338,0.053033113,-0.52091515,-0.05022467,0.49484128,-0.13577378,0.019197812,-0.14746131,-0.26196462,-0.00130785,0.03344803,0.028058255,-0.1176432,0.0247699,-0.24125183,0.06877147,-0.35931435,0.24376856,0.10527531,0.12272017,-0.12711167,-0.13410094,0.099862464,-0.21130942,-0.2516198,-0.04265738,0.047057815,0.31525007,0.1809469,0.018053371,-0.042829633,-0.27028838,0.3266347,-0.07965677,-0.46275595,-0.27047616,-0.42172027,-0.094621725,0.0005801387,-0.03362445,-0.18046474,0.17684351,-0.16720876,-0.14662178,-0.073622905,0.20042393,0.16464297,0.16959073,-0.15620397,-0.2220073,0.02049672,-0.1706867,0.1469872,0.14412329,-0.030118445,-0.23772216,0.12890577,0.117543496,0.04719161,-0.24747245,-0.115453415,-0.34016678,0.09251314,0.016834551,0.11097398,-0.21100886,0.16209738,-0.0984968,-0.019083573,0.23645428,-0.05020103,0.09067037,0.1306422,-0.098857254,-0.1441246,-0.19161464,0.2332807,-0.15497504,-0.16448045,-0.21986419,0.353549,-0.054089725,0.0698961,-0.12348636,0.29163074,0.27583078,0.035482295,0.22162184,-0.027499465,-0.0678356,0.11656995,0.38017952,0.1941379,0.17000721,-0.44796634,0.0697652,-0.0075703785
C16orf86,1,-0.11923305,0.26458353,0.00032975923,0.14099173,0.060446206,-0.61205333,-0.050040223,0.52317405,-0.17031798,-0.019060796,-0.16701753,-0.28861094,-0.017800957,0.071167395,0.032626104,-0.09890238,0.072227485,-0.28461543,0.10017115,-0.44104314,0.2756063,0.16205636,0.1877036,-0.119644456,-0.17830202,0.12741813,-0.262237,-0.2803436,-0.0515493,0.07953043,0.35872623,0.17784432,0.052432854,-0.07350277,-0.27996653,0.37400717,-0.08930794,-0.52139837,-0.33625618,-0.47046065,-0.074140355,-0.02207548,-0.05832992,-0.20654456,0.18760248,-0.21397644,-0.1612523,-0.056873407,0.19561338,0.20619598,0.18293694,-0.18171318,-0.2627127,0.04869716,-0.23717952,0.2000423,0.16480933,-0.07395427,-0.25202772,0.1628305,0.109436795,0.0486041,-0.25067502,-0.10739969,-0.34869966,0.13380496,-0.0023354937,0.13552533,-0.23822702,0.17896806,-0.080808,-0.05172054,0.23971628,-0.04518743,0.111380614,0.12552755,-0.085156135,-0.13033731,-0.24535623,0.2769305,-0.16667698,-0.17994294,-0.27429992,0.40020162,-0.03596301,0.09945109,-0.1612483,0.33390862,0.332136,0.04222126,0.26111263,-0.028910095,-0.08037618,0.1338822,0.40706438,0.23397106,0.20105748,-0.52388006,0.06194814,0.007167172
NGLY1,0,-0.10365649,0.25290212,-0.00631356,0.11371565,0.047040176,-0.47580093,-0.05018997,0.4360994,-0.11595226,0.012548326,-0.12442261,-0.24119602,0.0041716816,0.050428145,0.031074252,-0.07645275,0.035762545,-0.21724929,0.045291245,-0.3279702,0.20905028,0.10838094,0.12963712,-0.11379871,-0.12699392,0.08576425,-0.18491217,-0.22864088,-0.033553634,0.045322843,0.2936169,0.1654517,0.016430048,-0.061322317,-0.23962387,0.28769287,-0.07241762,-0.37180278,-0.22385378,-0.3861225,-0.08579176,-0.0045638685,-0.04159954,-0.14883621,0.15139198,-0.15276982,-0.13844474,-0.04650219,0.16714439,0.16623317,0.16133903,-0.14325355,-0.18056233,0.013320232,-0.15089539,0.13349247,0.15355657,-0.057532955,-0.2244459,0.12415338,0.08149589,0.050677307,-0.22174697,-0.09779254,-0.2887226,0.11114677,0.02300147,0.12255194,-0.1934883,0.15459432,-0.08775853,-0.0025126652,0.19229783,-0.028626952,0.082052544,0.1324159,-0.09880668,-0.10892689,-0.19873285,0.18963183,-0.15008718,-0.124409884,-0.19572943,0.30711776,-0.048722778,0.07367206,-0.1133545,0.25793746,0.25004664,0.06428789,0.20898746,-0.0037854544,-0.0739068,0.10391075,0.34971312,0.1734848,0.13202463,-0.37493712,0.069152616,-0.0027422106
PDCD7,0,-0.09887318,0.24684866,0.009600402,0.09340142,0.036897495,-0.50155735,-0.05115722,0.44734067,-0.12541439,-0.0018683673,-0.13784836,-0.25886273,0.016996592,0.04128083,0.020340962,-0.10162239,0.023813369,-0.23433752,0.057224687,-0.35845608,0.21334164,0.10707204,0.12073273,-0.12161262,-0.12250062,0.087761134,-0.20066924,-0.22874641,-0.027726192,0.052141163,0.30122936,0.18034214,0.029454036,-0.047048368,-0.26119795,0.30467036,-0.08270134,-0.40256596,-0.2396923,-0.4055199,-0.082233734,0.0015484535,-0.024562847,-0.15348418,0.16694741,-0.16614997,-0.13516667,-0.049375173,0.16843839,0.15335241,0.16903546,-0.15920512,-0.1935459,0.033882916,-0.16245294,0.136635,0.13499779,-0.034031995,-0.23008335,0.12000505,0.09581659,0.047796972,-0.22853526,-0.09549643,-0.31389272,0.116615325,0.027190307,0.12556402,-0.20606512,0.16398656,-0.07861306,-0.0059326175,0.2083043,-0.05181818,0.08436869,0.12459899,-0.08038003,-0.122027904,-0.17575489,0.20169342,-0.15441175,-0.13450027,-0.20144404,0.32064518,-0.040681012,0.06332254,-0.110531054,0.2775523,0.25584942,0.036566257,0.20607893,-0.015317968,-0.061791185,0.11422097,0.368371,0.19121961,0.14347337,-0.390508,0.06288513,-0.0105840815
NEFM,0,-0.1597818,0.2641586,0.011243806,0.1105517,0.031541858,-0.55349237,-0.05719717,0.493856,-0.10827847,0.022137199,-0.18426205,-0.28759462,0.029498428,0.028197207,0.0015605014,-0.112169616,0.033715297,-0.23016265,0.07908491,-0.39264804,0.22036852,0.107668705,0.12692961,-0.10866989,-0.15247971,0.09589576,-0.20169123,-0.25935093,-0.032672346,0.041902944,0.32709527,0.21536319,0.0024623612,-0.058809597,-0.28211403,0.29590416,-0.077986136,-0.44507167,-0.2805972,-0.44616306,-0.10434911,-0.024968635,-0.02482737,-0.20763624,0.22240993,-0.15900859,-0.17311014,-0.08101141,0.19898191,0.20534524,0.17721592,-0.1791273,-0.25760618,0.022396255,-0.15787217,0.16749156,0.11821444,-0.06839284,-0.25709406,0.12536514,0.11147704,0.052175123,-0.24596244,-0.10549736,-0.32913697,0.10475238,0.01369595,0.120354585,-0.2001945,0.16640072,-0.12427273,-0.03881571,0.2148162,-0.032696005,0.12061059,0.1540365,-0.09617633,-0.16041557,-0.17406671,0.22999454,-0.17834215,-0.14288548,-0.20656587,0.39979163,-0.040463816,0.04633344,-0.10686091,0.34969968,0.25856277,0.048624713,0.2590955,-0.028474445,-0.07432587,0.1345521,0.3983697,0.190137,0.21016353,-0.46165785,0.07219067,-0.022173963
LRP10,0,-0.10277602,0.24579975,0.00737903,0.10102783,0.066856496,-0.45481762,-0.03127658,0.41824737,-0.12872979,0.020483272,-0.12416292,-0.25674826,-0.01892758,0.051096004,0.019337645,-0.08252974,0.05320312,-0.20337562,0.045899525,-0.30698603,0.19652022,0.1144101,0.12735333,-0.10890893,-0.11848459,0.1173832,-0.19056733,-0.22703002,-0.028632695,0.031205006,0.29802015,0.16806945,0.034005705,-0.040037088,-0.23131596,0.24758695,-0.06201519,-0.3859343,-0.24538082,-0.3565185,-0.07312681,-0.010393593,-0.039373405,-0.12351452,0.14818822,-0.14940594,-0.12889759,-0.056579012,0.15895317,0.18741459,0.17983949,-0.12755232,-0.16284466,0.028831275,-0.16707036,0.14588003,0.1564323,-0.048770335,-0.1945835,0.12579398,0.08109054,0.02585301,-0.20764759,-0.1392517,-0.2864343,0.09239304,0.02467817,0.091122456,-0.19596778,0.1335914,-0.08976807,-0.022849867,0.20100994,-0.03289455,0.06047145,0.14370345,-0.09269931,-0.10121155,-0.1967602,0.2054438,-0.14501695,-0.13571358,-0.19108176,0.29573125,-0.047312178,0.07184213,-0.11042631,0.26853496,0.23274527,0.05278999,0.2186961,-0.012541136,-0.037262473,0.07402288,0.3352392,0.16292506,0.1459228,-0.33142614,0.06949445,0.020356586
SLC35F3,0,-0.110570036,0.22773124,0.0023308995,0.09911844,0.04199451,-0.47483647,-0.035188824,0.4589925,-0.12062716,0.029349905,-0.13540976,-0.2615415,-0.012103263,0.037974875,-0.0025545456,-0.0998499,0.050116736,-0.21437798,0.073752016,-0.33820662,0.2257062,0.08754751,0.13015442,-0.097859204,-0.12360783,0.107761644,-0.16846918,-0.21824993,-0.0053458763,0.045587048,0.29033026,0.18351588,0.015504111,-0.030550435,-0.25245172,0.26631588,-0.07093164,-0.42700174,-0.2542059,-0.37708494,-0.08708001,0.0008304523,-0.049316227,-0.15005012,0.17611443,-0.13491528,-0.11002252,-0.081554085,0.18350418,0.17676486,0.18211305,-0.1318662,-0.20577845,0.032825366,-0.1515734,0.15305841,0.14080031,-0.025835345,-0.21802379,0.12384282,0.09742087,0.027727617,-0.22482224,-0.11760486,-0.32953745,0.088410996,0.009108079,0.10768258,-0.18216655,0.15093292,-0.0895863,-0.028097836,0.18662147,-0.045612786,0.08808586,0.13810153,-0.108868614,-0.13393949,-0.1880042,0.23263882,-0.15076813,-0.15318431,-0.22089784,0.31078935,-0.04526808,0.06386596,-0.124157265,0.26613158,0.24127275,0.037869222,0.20768715,-0.014882042,-0.06246131,0.10921733,0.37315738,0.17160872,0.15679853,-0.39050528,0.086864114,0.0013937114
ADGRB1,0,-0.11447361,0.21996854,-0.011002951,0.09691722,0.06478838,-0.46540737,-0.049543645,0.41782534,-0.12464912,0.012723375,-0.12716937,-0.25257662,0.0014071283,0.041805957,0.026168132,-0.10727137,0.027221255,-0.20875973,0.05273793,-0.322678,0.20904112,0.10158836,0.10693497,-0.10768912,-0.11390026,0.08874582,-0.18560565,-0.21987699,-0.019450422,0.043458056,0.27786678,0.16494122,0.019954065,-0.043531943,-0.23261577,0.2785855,-0.084767714,-0.3852979,-0.24871255,-0.36092138,-0.07007527,-0.014329834,-0.037503887,-0.1566233,0.17574057,-0.14613149,-0.12250377,-0.066641085,0.15427671,0.14513421,0.1546159,-0.1435151,-0.18434854,0.03460216,-0.1715219,0.13170177,0.11974339,-0.032111134,-0.20081681,0.12076331,0.10231637,0.034932964,-0.2300118,-0.098473996,-0.2989951,0.096049786,0.0155718075,0.09336105,-0.181673,0.14650963,-0.08673106,-0.010372755,0.18786871,-0.044366553,0.08678348,0.122514896,-0.10025579,-0.12628323,-0.15804751,0.20268427,-0.15127635,-0.124118246,-0.18722908,0.29998127,-0.052623212,0.045409877,-0.11464961,0.27092302,0.22882892,0.029290352,0.19108346,-0.008178725,-0.06414605,0.11326102,0.34289524,0.16757941,0.14134465,-0.3846238,0.056957286,0.004893473
IGFL2,0,-0.077564836,0.19500473,-0.01649214,0.0872744,0.04227188,-0.42613938,-0.037522923,0.37541392,-0.12307031,-0.011848696,-0.12498178,-0.22457819,0.018473001,0.04294451,0.03045431,-0.08897002,0.029903507,-0.19880038,0.051137853,-0.32047743,0.20058678,0.105808325,0.092570886,-0.11293319,-0.108528286,0.077095866,-0.18403101,-0.18774357,-0.028189834,0.042456783,0.2594818,0.15075779,0.030531188,-0.060500097,-0.2041302,0.26051208,-0.055675957,-0.3437761,-0.21208169,-0.3328552,-0.06212114,-0.00255751,-0.024406228,-0.13500367,0.1522323,-0.13236724,-0.11505623,-0.051367596,0.1554971,0.12838964,0.13971204,-0.12151015,-0.15782565,0.01317329,-0.14990261,0.11948827,0.13669969,-0.023185356,-0.185877,0.10113174,0.07555308,0.048693523,-0.1996228,-0.09112966,-0.25878796,0.084754385,0.019816298,0.10411501,-0.17670603,0.15179947,-0.06147667,-0.0036891352,0.19051367,-0.040182773,0.087517224,0.10129171,-0.060131207,-0.109662324,-0.15964048,0.17239358,-0.12540388,-0.12000788,-0.18808661,0.28818074,-0.045067072,0.06415385,-0.105692334,0.24250478,0.23390558,0.05146046,0.18177532,0.0023621167,-0.044088975,0.09350488,0.30626926,0.16724008,0.12159471,-0.32851076,0.05982436,-0.006758971
SLC16A12,0,-0.15826356,0.21676768,-0.017852189,-0.03823674,0.112451866,-0.4621558,-0.012676503,0.4380843,-0.2544707,0.018314797,-0.13539778,-0.23690355,0.033878237,0.09892836,-0.039030056,-0.18220721,0.057942886,-0.16255456,0.04581889,-0.36860874,0.24784246,0.15254416,0.008417968,-0.072191864,-0.1859869,0.06821966,-0.17277658,-0.30192035,0.023780072,0.036964264,0.40582564,0.08318038,0.006620265,0.01719678,-0.19700772,0.39040872,-0.09876051,-0.5105788,-0.29311162,-0.32419527,-0.123083994,-0.056615926,-0.1693257,-0.12500416,0.30387503,-0.18570437,-0.1202892,-0.11769042,0.08383943,0.20675643,0.17791785,-0.14147495,-0.22045785,0.07187679,-0.15150857,0.08535293,0.087178886,-0.03401767,-0.26999226,0.19613923,0.17173013,0.068325296,-0.18389894,-0.13150442,-0.34446478,0.10102959,0.028528005,0.09249019,-0.18262634,0.19544546,-0.04298246,-0.0043734387,0.1409355,-0.08255505,0.14345519,0.13059726,-0.13437769,-0.1988584,-0.08498246,0.17745931,-0.09967335,-0.1007796,-0.24450041,0.21203764,-0.020540806,0.039573576,-0.13896413,0.30354103,0.31535435,0.079489484,0.19810535,-0.030287212,-0.014156874,0.23825155,0.47123936,0.14590582,0.14274089,-0.4157686,0.039634265,0.03351017
YIPF3,0,-0.14349385,0.27172318,-0.009611681,0.1120796,0.06927857,-0.55477417,-0.042775113,0.5351233,-0.1331121,0.02981962,-0.16038749,-0.30138662,-0.00017777173,0.04544667,0.028432932,-0.12230569,0.020287914,-0.26068997,0.08096523,-0.41060498,0.25108996,0.12371116,0.153622,-0.121338874,-0.12807737,0.1068741,-0.20784013,-0.27691028,-0.026061043,0.049834456,0.35835052,0.20206203,0.026099969,-0.05250563,-0.29534557,0.3389699,-0.10583913,-0.48637068,-0.29257503,-0.4594374,-0.082882784,-0.001006896,-0.050579574,-0.1926759,0.2006122,-0.20325659,-0.15155563,-0.07292834,0.19671248,0.17940219,0.19532731,-0.16897587,-0.24407764,0.035034586,-0.20630379,0.18075979,0.15988359,-0.03975994,-0.27669266,0.1563613,0.09835333,0.05716965,-0.26087058,-0.1316104,-0.37069717,0.1191938,0.038190477,0.11874825,-0.2240542,0.16371775,-0.09715852,-0.029102655,0.23140551,-0.06335904,0.11064802,0.15727489,-0.118851304,-0.15595454,-0.21957332,0.2567851,-0.16500853,-0.15563822,-0.24413444,0.37143004,-0.04488189,0.07703361,-0.13580093,0.3253882,0.3066226,0.04949927,0.24315132,-0.0077360487,-0.087059475,0.11317203,0.42331108,0.20103404,0.18757756,-0.49528164,0.08054721,0.0068361457
DIPK2B,0,-0.10957492,0.25327715,-0.003434518,0.1121903,0.03160104,-0.51494116,-0.07287939,0.4717293,-0.1342547,0.01035513,-0.15566331,-0.25710362,0.0065448782,0.042540636,0.031433698,-0.0915902,0.025613526,-0.24451381,0.054739993,-0.36896786,0.24004406,0.107241556,0.1385753,-0.12382638,-0.11160661,0.0838615,-0.19364657,-0.23568292,-0.032187022,0.059131578,0.2975234,0.17990263,0.01077236,-0.05517144,-0.24333656,0.32472965,-0.06940768,-0.4087546,-0.26229402,-0.42019328,-0.07405181,-0.014914731,-0.036359563,-0.18351273,0.17388627,-0.16634265,-0.1541352,-0.053189617,0.18441589,0.168977,0.176211,-0.17790525,-0.19121186,0.020692328,-0.17668936,0.13895173,0.1553533,-0.0442802,-0.23345621,0.12415634,0.10250187,0.044758078,-0.2526012,-0.11288859,-0.31209472,0.10438216,0.041037902,0.111677326,-0.21437849,0.17021872,-0.08869552,-0.015459848,0.21354254,-0.036928587,0.087500595,0.14144525,-0.110055946,-0.12908731,-0.18046515,0.21466297,-0.1506861,-0.14463514,-0.21383297,0.33423355,-0.04158269,0.07038856,-0.12281244,0.29671267,0.26255253,0.055027027,0.21901242,-0.017572992,-0.09197924,0.114108,0.3771067,0.20480473,0.16759056,-0.4055976,0.06844008,0.026775979
